# Fonte: Synthea-br MVP — hospitais genéricos fictícios (100% sintético).
# state = UF nome completo (contrato Story 3.2 / Person.STATE).
provider_num,npi,name,address,city,state,zip,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
"BR-HSP-2704302","8002704302","Hospital Geral Exemplo Maceió","Rua Hospital 13, 500","Maceió","Alagoas","57000000","",-9.6658,-35.7350,"1131001012","00-09","01-02",true,,,"04",80,
"BR-HSP-2408102","8002408102","Hospital Geral Exemplo Natal","Rua Hospital 14, 500","Natal","Rio Grande do Norte","59000000","",-5.7945,-35.2110,"1131001013","00-09","01-02",true,,,"04",80,
"BR-HSP-2800308","8002800308","Hospital Geral Exemplo Aracaju","Rua Hospital 15, 500","Aracaju","Sergipe","49000000","",-10.9472,-37.0731,"1131001014","00-09","01-02",true,,,"04",80,
"BR-HSP-2507507","8002507507","Hospital Geral Exemplo João Pessoa","Rua Hospital 16, 500","João Pessoa","Paraíba","58000000","",-7.1195,-34.8450,"1131001015","00-09","01-02",true,,,"04",80,
"BR-HSP-2211001","8002211001","Hospital Geral Exemplo Teresina","Rua Hospital 17, 500","Teresina","Piauí","64000000","",-5.0892,-42.8019,"1131001016","00-09","01-02",true,,,"04",80,
"BR-HSP-5002704","8005002704","Hospital Geral Exemplo Campo Grande","Rua Hospital 18, 500","Campo Grande","Mato Grosso do Sul","79000000","",-20.4697,-54.6201,"1131001017","00-09","01-02",true,,,"04",80,
"BR-HSP-5103403","8005103403","Hospital Geral Exemplo Cuiabá","Rua Hospital 19, 500","Cuiabá","Mato Grosso","78000000","",-15.6010,-56.0974,"1131001018","00-09","01-02",true,,,"04",80,
"BR-HSP-1100205","8001100205","Hospital Geral Exemplo Porto Velho","Rua Hospital 20, 500","Porto Velho","Rondônia","76800000","",-8.7619,-63.9039,"1131001019","00-09","01-02",true,,,"04",80,
"BR-HSP-1400100","8001400100","Hospital Geral Exemplo Boa Vista","Rua Hospital 21, 500","Boa Vista","Roraima","69300000","",2.8235,-60.6758,"1131001020","00-09","01-02",true,,,"04",80,
"BR-HSP-1200401","8001200401","Hospital Geral Exemplo Rio Branco","Rua Hospital 22, 500","Rio Branco","Acre","69900000","",-9.9747,-67.8243,"1131001021","00-09","01-02",true,,,"04",80,
"BR-HSP-1600303","8001600303","Hospital Geral Exemplo Macapá","Rua Hospital 23, 500","Macapá","Amapá","68900000","",0.0349,-51.0694,"1131001022","00-09","01-02",true,,,"04",80,
"BR-HSP-3205309","8003205309","Hospital Geral Exemplo Vitória","Rua Hospital 24, 500","Vitória","Espírito Santo","29000000","",-20.3155,-40.3128,"1131001023","00-09","01-02",true,,,"04",80,
"BR-HSP-5300108","8005300108","Hospital Geral Exemplo Brasília","Rua Hospital 25, 500","Brasília","Distrito Federal","70000000","",-15.7942,-47.8822,"1131001024","00-09","01-02",true,,,"04",80,
"BR-HSP-4205407","8004205407","Hospital Geral Exemplo Florianópolis","Rua Hospital 26, 500","Florianópolis","Santa Catarina","88000000","",-27.5954,-48.5480,"1131001025","00-09","01-02",true,,,"04",80,
"BR-HSP-3170206","8003170206","Hospital Geral Exemplo Uberlândia","Rua Hospital 27, 500","Uberlândia","Minas Gerais","38400000","",-18.9186,-48.2772,"1131001026","00-09","01-02",true,,,"04",80,
"BR-HSP-3543402","8003543402","Hospital Geral Exemplo Ribeirão Preto","Rua Hospital 28, 500","Ribeirão Preto","São Paulo","14000000","",-21.1767,-47.8208,"1131001027","00-09","01-02",true,,,"04",80,
"BR-HSP-3548500","8003548500","Hospital Geral Exemplo Santos","Rua Hospital 29, 500","Santos","São Paulo","11000000","",-23.9608,-46.3336,"1131001028","00-09","01-02",true,,,"04",80,
"BR-HSP-4314407","8004314407","Hospital Geral Exemplo Pelotas","Rua Hospital 30, 500","Pelotas","Rio Grande do Sul","96000000","",-31.7654,-52.3376,"1131001029","00-09","01-02",true,,,"04",80,
"BR-HSP-4209102","8004209102","Hospital Geral Exemplo Joinville","Rua Hospital 31, 500","Joinville","Santa Catarina","89200000","",-26.3045,-48.8487,"1131001030","00-09","01-02",true,,,"04",80,
